Año,Total año victimas,AÑO_ANTERIOR,TASA_HOMICIDIOS,TASA_AÑO_ANTERIOR,VARIACION
2016,67,0,2.147014752234498,0.0,inf
2017,62,67,1.9867897707244604,2.147014752234498,-7.462686567164191
2018,61,62,1.954744774422453,1.9867897707244604,-1.6129032258064453
2019,50,61,1.6022498151003715,1.954744774422453,-18.032786885245898
2020,30,50,0.9613498890602228,1.6022498151003715,-40.00000000000001
2021,46,30,1.4740698298923416,0.9613498890602228,53.333333333333336
