Año,Total victima peaton,AÑO_ANTERIOR,TASA_HOMICIDIOS,TASA_AÑO_ANTERIOR,VARIACION
2016,48,0,1.5381598224963564,0.0,inf
2017,49,48,1.570204818798364,1.5381598224963564,2.0833333333333397
2018,68,49,2.179059748536505,1.570204818798364,38.77551020408162
2019,37,68,1.1856648631742748,2.179059748536505,-45.588235294117645
2020,34,37,1.0895298742682524,1.1856648631742748,-8.108108108108114
2021,33,34,1.0574848779662451,1.0895298742682524,-2.941176470588224
